5_23 (2397.35,2835.91) 3597.6999999978234
1_0 (4666.88,3290.18) 3657.7999999977687
2_6 (5272.30,6401.38) 3658.399999997768
5_23 (2215.22,2884.26) 3694.5999999977353
2_5 (4329.62,3383.92) 3706.1999999977247
2_6 (5190.05,6147.73) 3707.199999997724
4_16 (4848.46,3616.35) 3712.299999997719
5_23 (1690.41,3102.28) 3757.2999999976782
2_5 (3960.28,3501.83) 3766.19999999767
5_24 (4517.96,3682.10) 3775.099999997662
2_6 (5044.91,5635.35) 3777.59999999766
1_0 (4329.62,3383.92) 3777.7999999976596
2_5 (3641.18,3674.04) 3826.1999999976156
5_23 (1171.27,3280.42) 3879.1999999975674
2_6 (4958.60,5307.90) 3894.5999999975534
5_24 (4357.28,3419.97) 3895.999999997552
1_0 (3960.28,3501.83) 3897.7999999975505
2_6 (4757.86,5123.39) 3941.6999999975105
2_5 (3359.95,3906.48) 3946.1999999975064
5_24 (4300.64,3060.28) 3955.499999997498
1_0 (3641.18,3674.04) 3957.799999997496
5_24 (4216.03,2788.40) 4007.9999999974502
2_6 (4515.28,4877.38) 4019.19999999744
2_6 (4365.94,4766.67) 4075.6999999973887
1_0 (3302.67,3886.97) 4077.7999999973867
1_0 (2845.73,4107.53) 4137.799999997522
5_24 (3647.35,2362.55) 4140.899999997533
5_24 (3117.32,2360.43) 4198.399999997742
2_6 (3984.73,4276.77) 4200.49999999775
2_6 (3657.99,4314.09) 4316.499999998172
5_24 (2682.42,2717.99) 4321.299999998189
2_6 (3371.72,3925.99) 4378.599999998398
5_24 (2397.35,2835.91) 4379.699999998402
5_24 (2215.22,2884.26) 4477.099999998756
5_24 (1690.41,3102.28) 4539.899999998985
5_24 (1171.27,3280.42) 4661.799999999428
3_13 (1436.25,3595.99) 16736.0
3_13 (1635.79,3796.62) 16796.100000036076
3_13 (2396.88,4128.74) 16917.200000034314
3_14 (1436.25,3595.99) 16975.90000003346
3_13 (2812.77,4128.31) 17034.0
3_14 (1635.79,3796.62) 17035.900000032587
3_13 (3263.48,3909.87) 17093.40000003175
3_14 (2396.88,4128.74) 17157.100000030823
2_5 (3628.98,4282.28) 17220.000000029908
3_14 (2812.77,4128.31) 17273.700000029126
3_14 (3263.48,3909.87) 17333.100000028262
2_5 (3962.43,4259.38) 17340.00000002816
2_6 (3628.98,4282.28) 17457.00000002646
2_5 (4330.67,4723.83) 17460.000000026415
1_0 (3263.48,3909.87) 17514.60000002562
2_5 (4477.97,4865.50) 17520.000000025542
2_6 (3962.43,4259.38) 17577.000000024713
2_5 (4667.36,5029.22) 17580.00000002467
1_0 (3602.20,3696.94) 17634.600000023875
2_5 (4938.80,5295.60) 17640.000000023796
1_0 (3925.44,3512.44) 17695.700000022985
2_6 (4330.67,4723.83) 17697.000000022967
2_6 (4477.97,4865.50) 17757.000000022093
5_20 (1639.19,3117.55) 17760.0
2_5 (5041.57,5622.62) 17760.00000002205
1_0 (4291.07,3396.22) 17814.600000021255
2_6 (4667.36,5029.22) 17817.00000002122
2_5 (5163.74,6045.08) 17820.000000021177
5_20 (2134.52,2910.56) 17820.000000021177
2_7 (3602.20,3696.94) 17873.000000020405
1_1 (2291.42,4650.03) 17874.0
2_6 (4938.80,5295.60) 17877.000000020347
2_5 (5266.56,6381.02) 17880.000000020304
2_7 (3925.44,3512.44) 17934.100000019516
5_20 (2364.28,2844.39) 17940.00000001943
1_0 (4659.66,3294.84) 17943.900000019374
2_7 (4291.07,3396.22) 17993.60000001865
1_1 (1748.59,5098.79) 17994.000000018645
2_6 (5041.57,5622.62) 17997.0000000186
2_5 (5415.08,6804.75) 18000.000000018557
5_20 (2662.05,2729.44) 18000.000000018557
5_21 (1639.19,3117.55) 18000.000000018557
5_22 (685.15,3513.71) 18038.200000018
1_1 (1491.47,5409.69) 18054.00000001777
2_6 (5163.74,6045.08) 18057.000000017728
2_8 (3628.98,4282.28) 18060.0
2_5 (5539.88,7248.00) 18060.000000017684
5_21 (2134.52,2910.56) 18060.000000017684
1_0 (4899.27,3213.83) 18065.20000001761
5_22 (253.36,3820.37) 18116.100000016868
2_6 (5266.56,6381.02) 18117.000000016855
2_5 (5640.64,7751.05) 18120.00000001681
5_20 (3101.00,2395.21) 18120.00000001681
2_7 (4623.36,3288.91) 18122.20000001678
1_1 (1783.67,5916.99) 18174.000000016025
5_22 (26.01,3958.65) 18174.800000016014
2_8 (3962.43,4259.38) 18180.000000015938
5_20 (3641.05,2360.43) 18180.000000015938
5_21 (2364.28,2844.39) 18180.000000015938
1_0 (4960.13,2870.26) 18183.0
1_1 (1822.03,6535.84) 18234.000000015152
2_6 (5415.08,6804.75) 18237.00000001511
2_9 (3628.98,4282.28) 18239.900000015066
5_21 (2662.05,2729.44) 18240.000000015065
1_0 (5275.30,2706.96) 18241.80000001504
1_1 (1598.88,7057.55) 18294.00000001428
3_10 (3646.79,2118.23) 18295.20000001426
2_6 (5539.88,7248.00) 18297.000000014235
