"(3072.0, 4778.12)","(48.007976532, 7.8288445473)"
"(3074.12, 4736.98)","(48.007606506, 7.828872680700001)"
"(3074.95, 1321.24)","(47.976886748999995, 7.828859329199999)"
"(3077.15, 4734.43)","(48.007583618000005, 7.8289132118)"
"(3083.91, 4730.19)","(48.00754547100001, 7.829003810900001)"
"(3084.82, 2430.41)","(47.986862183, 7.828999519299999)"
"(3088.53, 1353.9)","(47.977180481000005, 7.829041481)"
"(3092.7, 4726.37)","(48.007511138999995, 7.829121589700001)"
"(3097.5, 1371.29)","(47.977336883999996, 7.829161644)"
"(3101.0, 2395.21)","(47.986545563, 7.8292160034)"
"(3112.01, 1393.35)","(47.977535248, 7.829356193500001)"
"(3117.32, 2360.43)","(47.986232758, 7.8294343948)"
"(3121.21, 4714.92)","(48.007408141999996, 7.8295035362)"
"(3122.04, 1405.65)","(47.977645874, 7.8294906615999995)"
"(3128.54, 3984.1)","(48.000835419, 7.829596519500001)"
"(3132.85, 4837.08)","(48.008506775, 7.829660415599999)"
"(3138.42, 2316.31)","(47.985836029, 7.8297166824)"
"(3147.43, 2300.2)","(47.985691071000005, 7.8298373222)"
"(3149.68, 4702.2)","(48.007293701, 7.8298850060000005)"
"(3153.95, 2293.41)","(47.985630035, 7.8299245834)"
"(3163.99, 2286.62)","(47.985569, 7.8300590515)"
"(3171.57, 3962.89)","(48.000644683999994, 7.8301730156)"
"(3174.28, 2281.96)","(47.985527039, 7.8301968575)"
"(3205.23, 1486.66)","(47.978374481, 7.8306055069000005)"
"(3224.77, 4924.03)","(48.009288788, 7.8308930397)"
"(3225.29, 3932.35)","(48.000370026000006, 7.8308925629)"
"(3227.96, 1514.66)","(47.978626251, 7.8309102058)"
"(3238.1, 1528.66)","(47.978752136000004, 7.8310461044)"
"(3241.17, 4665.72)","(48.006965637, 7.8311109543)"
"(3244.4, 4943.12)","(48.009460448999995, 7.8311562538)"
"(3250.05, 1546.47)","(47.978912353999995, 7.8312063217)"
"(3257.15, 4658.09)","(48.006896973, 7.8313250542)"
"(3263.48, 3909.87)","(48.000167847, 7.8314042091)"
"(3263.96, 1568.53)","(47.979110718, 7.831392765)"
"(3268.58, 4966.02)","(48.009666443, 7.831480503099999)"
"(3278.54, 4646.21)","(48.006790161000005, 7.8316116333000005)"
"(3284.76, 1607.97)","(47.979465485, 7.831671714800001)"
"(3294.46, 1629.18)","(47.979656219, 7.8318018913)"
"(3296.2, 4992.32)","(48.009902954, 7.831851005599999)"
"(3298.76, 4995.29)","(48.009929657, 7.831885337799999)"
"(3302.18, 4998.26)","(48.00995636, 7.8319311142)"
"(3302.67, 3886.97)","(47.999961853, 7.831929206799999)"
"(3303.99, 4631.79)","(48.006660461, 7.8319525719000005)"
"(3308.83, 5004.62)","(48.01001358, 7.832020282699999)"
"(3315.38, 3879.76)","(47.999897003, 7.8320994377)"
"(3320.28, 5014.38)","(48.010101318000004, 7.8321738243)"
"(3326.79, 1694.5)","(47.980243683000005, 7.8322353363)"
"(3343.51, 2262.87)","(47.985355377, 7.8324637413)"
"(3347.27, 3877.21)","(47.999874115, 7.8325266838)"
"(3347.44, 3884.0)","(47.99993515, 7.8325290679999995)"
"(3348.37, 3870.85)","(47.999816895, 7.8325414658)"
"(3350.03, 3890.78)","(47.999996185, 7.8325638771)"
"(3350.96, 1744.55)","(47.980693816999995, 7.832559585599999)"
"(3352.36, 3862.79)","(47.999744415, 7.8325948714999996)"
"(3354.36, 2260.75)","(47.98533630399999, 7.832609176599999)"
"(3355.85, 3859.4)","(47.999713898, 7.8326416016)"
"(3359.95, 3906.48)","(48.000137329, 7.8326969147000005)"
"(3361.38, 1762.79)","(47.980857848999996, 7.8326992989)"
"(3361.83, 3854.31)","(47.999668121000006, 7.8327217101999995)"
"(3364.3, 2260.33)","(47.985332488999994, 7.8327422142)"
"(3369.8, 4592.34)","(48.006305695, 7.8328342438)"
"(3371.72, 3925.99)","(48.000312805, 7.8328547478)"
"(3377.68, 2261.17)","(47.985340118, 7.832921505)"
"(3378.31, 1786.97)","(47.981075286999996, 7.8329262733)"
"(3389.28, 2262.45)","(47.985351562, 7.8330769539)"
"(3396.6, 3967.13)","(48.000682831000006, 7.8331885338)"
"(3408.45, 4566.47)","(48.006072998, 7.8333520889)"
"(3415.69, 2267.11)","(47.985393523999996, 7.8334307671)"
"(3416.46, 5105.57)","(48.010921478, 7.8334636688)"
"(3423.65, 4554.59)","(48.005966187, 7.8335556984000005)"
"(3430.46, 2270.5)","(47.985424042, 7.833628654500001)"
"(3438.18, 1863.31)","(47.981761932, 7.8337287902999995)"
"(3441.38, 2273.9)","(47.985454559, 7.8337750435)"
"(3446.66, 3806.8)","(47.999240875, 7.8338580132)"
"(3462.01, 1892.16)","(47.982021331999995, 7.8340482712)"
"(3465.15, 2284.08)","(47.985546112, 7.8340935707)"
"(3477.97, 5165.38)","(48.011459351000006, 7.8342885971000005)"
"(3495.74, 4491.82)","(48.005401611, 7.8345212936)"
"(3497.88, 4130.01)","(48.002147675, 7.8345470428)"
"(3501.83, 5187.43)","(48.011657715, 7.8346085548)"
"(3506.17, 4141.46)","(48.002250671000006, 7.834658145900001)"
"(3507.62, 5192.52)","(48.011703491000006, 7.8346862793)"
"(3507.78, 3771.6)","(47.998924255, 7.8346767426)"
"(3513.04, 4476.55)","(48.005264282, 7.8347530364999995)"
"(3522.76, 4468.06)","(48.005187988, 7.8348832129999995)"
"(3524.19, 3760.57)","(47.998825073, 7.8348965645)"
"(3527.46, 4169.46)","(48.002502441000004, 7.8349437714)"
"(3529.57, 5206.95)","(48.011833191, 7.834980487799999)"
"(3529.63, 4462.97)","(48.005142211999996, 7.8349752426)"
"(3529.67, 2315.47)","(47.985828399999995, 7.8349580764999995)"
"(3538.38, 5214.16)","(48.011898041, 7.835098743400001)"
"(3541.16, 4455.34)","(48.005073546999995, 7.8351297379)"
"(3551.28, 3740.21)","(47.998641968, 7.8352594375999995)"
"(3560.36, 2003.29)","(47.983020782, 7.8353667259)"
"(3561.6, 5234.09)","(48.012077332, 7.8354101180999995)"
"(3568.22, 4433.71)","(48.004878998, 7.8354921341)"
"(3572.58, 2334.55)","(47.986000061000006, 7.8355331421)"
"(3596.32, 2346.0)","(47.986103058000005, 7.8358511925)"
"(3598.03, 3699.91)","(47.998279572, 7.8358855247)"
"(3598.14, 2043.58)","(47.98338317899999, 7.835873127)"
"(3600.51, 2347.7)","(47.986118317, 7.8359074592999995)"
"(3602.2, 3696.94)","(47.998252869, 7.8359413147)"
"(3613.47, 4391.71)","(48.004501343, 7.8360981941)"
"(3615.5, 2062.67)","(47.98355484, 7.8361058235000005)"
"(3617.61, 2330.74)","(47.98596572899999, 7.8361363411000005)"
"(3617.93, 2326.92)","(47.985931396000005, 7.8361406326)"
"(3618.07, 2334.98)","(47.986003876000005, 7.83614254)"
"(3619.17, 2340.07)","(47.986049652, 7.836157321900001)"
"(3620.31, 2343.04)","(47.986076355, 7.8361725807000004)"
"(3620.54, 2317.59)","(47.985847473, 7.836175441699999)"
"(3623.86, 2074.12)","(47.983657836999996, 7.8362178801999995)"
"(3624.5, 2348.97)","(47.986129761, 7.8362288475)"
"(3628.98, 4282.28)","(48.003517151000004, 7.8363051414)"
"(3629.31, 2352.79)","(47.986164093, 7.836293220499999)"
"(3629.65, 2083.88)","(47.983745575, 7.8362956047)"
"(3631.72, 2357.03)","(47.98620224, 7.8363256454)"
"(3634.0, 2356.18)","(47.986194611, 7.836356163)"
"(3636.2, 2097.02)","(47.983863831, 7.8363833427)"
"(3639.39, 2274.32)","(47.985458374, 7.8364276886)"
"(3641.05, 2360.43)","(47.986232758, 7.8364505768)"
"(3641.18, 3674.04)","(47.998046875, 7.8364634514)"
"(3641.3, 2359.58)","(47.986225128, 7.836453914600001)"
"(3643.07, 2264.14)","(47.98536682100001, 7.8364768028)"
"(3646.79, 2118.23)","(47.984054565, 7.8365254402)"
"(3647.35, 2362.55)","(47.986251831000004, 7.836534977)"
"(3655.54, 2135.62)","(47.984210968, 7.8366427422000005)"
"(3657.99, 4314.09)","(48.003803253, 7.836694240599999)"
"(3658.66, 2366.36)","(47.986286163, 7.8366866112)"
"(3659.08, 4347.6)","(48.004104614, 7.8367090225)"
"(3659.52, 4315.79)","(48.003818511999995, 7.8367147446)"
"(3659.74, 4315.79)","(48.003818511999995, 7.8367176056)"
"(3660.23, 2204.34)","(47.984828949, 7.8367061614999995)"
"(3661.62, 4319.18)","(48.00384903, 7.836742878)"
"(3661.89, 2153.86)","(47.984375, 7.836728096)"
"(3662.69, 2190.76)","(47.984706878999994, 7.8367390633000005)"
"(3663.21, 4341.66)","(48.004051208, 7.8367643356)"
"(3663.4, 4323.42)","(48.003887176999996, 7.8367667198)"
"(3663.98, 2171.25)","(47.984531403000005, 7.836756229400001)"
"(3663.98, 2178.89)","(47.984600066999995, 7.836756229400001)"
"(3664.53, 4337.0)","(48.004009247, 7.8367819786)"
"(3664.64, 4328.09)","(48.003929138000004, 7.8367834091)"
"(3664.64, 4333.18)","(48.003974915, 7.8367834091)"
"(3666.71, 4320.03)","(48.00385665899999, 7.836811065700001)"
"(3671.58, 3655.8)","(47.997882843, 7.8368706703)"
"(3671.79, 4323.0)","(48.003883361999996, 7.8368792534)"
